STRING_KEY,STRING_VALUE,CATEGORY_NAME,REC_DATE,REC_FUL_NAM,REC_STATUS,COUNTRY_CODE,LANG_CODE
ACA_ScheduleCalendar_AMValue,9:00:00,ACA Admin,25-Jul-08,ADMIN,A,US,en
ACA_ScheduleCalendar_PMValue,13:00:00,ACA Admin,25-Jul-08,ADMIN,A,US,en
select.label,--,Portlet - Inspection Multiple Detail_218,7-Feb-05,Lucy,A,US,en
per_permitIssuances_text_applicationPartFailureInfo_postfix," ) failed to submit.<BR>To resume, please return to the record list and try again.",ACA Admin,10/16/2008 17:02,ADMIN,A,US,en
messages.refaddressset.setmember.lookup.deleted, {0} address(es) deleted successfully from the set., Message - Set Member, 31-Aug-04,DLL,A,US,en
messages.licensedset.setmember.lookup.deleted, {0} licensed professional(s) deleted successfully from the set., Message - Set Member, 31-Aug-04,DLL,A,US,en
per_scheduleinspection_label_restrictionpolicy1,{0} must be made {1} day(s) prior to the inspection date/time.,ACA Admin,7/29/2009,ADMIN,A,US,en
per_scheduleinspection_label_restrictionpolicy2,{0} must be made {1} hour(s) prior to the inspection date/time.,ACA Admin,7/29/2009,ADMIN,A,US,en
per_scheduleinspection_label_restrictionpolicy3,{0} must be made before {1} {2} day(s) prior to the inspection date/time.,ACA Admin,7/29/2009,ADMIN,A,US,en
per_scheduleinspection_label_restrictionpolicy4,{0} must be made before {1}.,ACA Admin,7/29/2009,ADMIN,A,US,en
messages.parcelset.setmember.lookup.deleted, {0} parcels deleted from the set., Message - Set Member, 31-Aug-04,DLL,A,US,en
errors.ams.delete.woasset.failed.label,{0} asset(s) cannot be deleted from the work order because costs are distributed to the asset(s). Please remove the costs first.,AMS,14-May-09,AMS,A,US,en
errors.ams.delete.assetwo.failed.label,{0} work order(s) cannot be deleted because costs are distributed to the asset. Please remove the costs first.,AMS,22-Jul-09,AMS,A,US,en
errors.text.length.exceed,The input value in the text area is too long. Please correct it.,ALM,22-Jul-09,ALM,A,US,en
messages.refaddressset.setmember.lookup.success, {0} selected Address(es) added successfully., Message - Set Member, 31-Aug-04,DLL,A,US,en
messages.refaddressset.setmember.lookup.duplicated, {0} selected address(es) is already in the set., Message - Set Member, 31-Aug-04,DLL,A,US,en
messages.licensedset.setmember.lookup.success, {0} selected licensed professional(s) added successfully., Message - Set Member, 31-Aug-04,DLL,A,US,en
messages.licensedset.setmember.lookup.duplicated, {0} selected licensed professional(s) is already in the set., Message - Set Member, 31-Aug-04,DLL,A,US,en
messages.parcelset.setmember.lookup.success, {0} parcels added to the set., Message - Set Member, 31-Aug-04,DLL,A,US,en
messages.parcelset.setmember.lookup.duplicated, {0} parcels are already in the set., Message - Set Member, 31-Aug-04,DLL,A,US,en
per_permitPayFee_text_payFeePay, A credit card payment is required to complete your record application.,ACA Admin,10/22/2007 14:09,ADMIN,A,US,en
ams.pmschedule.linked.address, <br>Addresses added to the PM schedule will have their first work order generated upon the next execution of this PM schedule. The schedule date is set as of the run date of the PM schedule.,Portlet - Reference Address List_7,20-May-09,AndrewC,A,US,en
ams.pmschedule.linked.asset, <br>Assets added to the PM schedule will have their first work order generated upon the next execution of this PM schedule. The schedule date is set as of the run date of the PM schedule.,Portlet - PM Schedule Linked Asset List_2113,20-May-09,AndrewC,A,US,en
lic_disclaime_label_continueApp, Continue Application &raquo;,ACA Admin,10/10/2007 14:06,ADMIN,A,US,en
continuing_education_detail_education_name,Continuing Education Name:,ACA Admin,8/12/2009,ADMIN,A,US,en
continuing_education_detail_education_name|sub,nbsp;,ACA Admin,8/12/2009,ADMIN,A,US,en
errors.xrefcap.update.exception.application.label, Current {0} will not be updated to Related Records {1}. See reason below.,Portlet - XrefCap,1/29/2007,DLL,A,US,en
errors.provider.notgetprovidernumber,"Can't get current provider number, please enter a provider number or contact your administrator.",Portlet - Provider,18-Jan-07,ADMIN,A,US,en
errors.record.duplicate,The record(s) failed to add or update because it already exists.,Portlet - Continuing Education,3-Dec-09,ADMIN,A,US,en
errors.eduRecord.duplicate,The education(s) failed to add or update because it already exists.,Portlet - Education,3-Dec-09,ADMIN,A,US,en
errors.contEduRecord.duplicate,The continuing education(s) failed to add or update because it already exists.,Portlet - Continuing Education,3-Dec-09,ADMIN,A,US,en
errors.examRecord.duplicate,The examination(s) failed to add or update because it already exists.,Portlet - Examination,3-Dec-09,ADMIN,A,US,en
per_permitFee_label_payAtCounter, Defer Payment &raquo;,ACA Admin,24-Nov-08,Admin,A,US,en
admin_global_setting_label_checkboxsetting_option,Display Check Boxes in the Record List for Anonymous Users and Allow Them to Select Records,ACA Admin,5/6/2009,ADMIN,A,US,en
Admin_CapTypeFilter_Message_DeleteFilter, Do you want to delete this Record type filter?\r Click OK to delete this Record type filter or Cancel to stay on the current page.,ACA Admin,8/28/2008,ADMIN,A,US,en
education.examinationForm.examination.label,Examination,Portlet - Examination,7/6/2009 14:06,ADMIN,A,US,en
education.examinationForm.examName.label,Examination Name,Portlet - Examination,7/1/2009 14:06,ADMIN,A,US,en
education.examinationForm.examDate.label,Examination Date,Portlet - Examination,7/1/2009 14:06,ADMIN,A,US,en
per_permitPayFee_label_expAndDateFee, Exp. Date:,ACA Admin,10/22/2007 14:09,ADMIN,A,US,en
per_permitPayFee_label_expAndDatePay, Exp. Date:,ACA Admin,10/22/2007 14:09,ADMIN,A,US,en
per_fee_label_estimateFeePrint, Fees Estimated,ACA Admin,10/22/2007 14:09,ADMIN,A,US,en
per_upload_label_fileTip, HTML files cannot be uploaded.,ACA Admin,2/13/2008 4:29,ADMIN,A,US,en
